"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2026","100.957","100.910","101.210","100.815","16.11K","0.08%"
"06/29/2026","100.877","101.150","101.190","100.845","12.53K","-0.25%"
"06/26/2026","101.127","101.295","101.360","100.835","21.37K","-0.07%"
"06/25/2026","101.193","101.385","101.525","101.080","17.96K","-0.20%"
"06/24/2026","101.391","101.180","101.570","101.150","17.21K","0.22%"
"06/23/2026","101.173","100.805","101.210","100.710","17.42K","0.38%"
"06/22/2026","100.794","100.700","100.850","100.550","15.54K","0.17%"
"06/19/2026","100.618","100.625","100.910","100.490","9.36K","0.00%"
"06/18/2026","100.618","100.150","100.700","99.980","29.05K","0.75%"
"06/17/2026","99.866","99.290","100.360","99.250","25.99K","0.59%"
"06/16/2026","99.279","99.390","99.550","99.200","11.48K","-0.20%"
"06/15/2026","99.474","99.550","99.600","99.445","0.41K","-0.27%"
"06/12/2026","99.745","99.780","99.905","99.650","11.45K","-0.10%"
"06/11/2026","99.849","100.070","100.315","99.565","36.80K","-0.09%"
"06/10/2026","99.934","100.000","100.045","99.700","32.42K","0.05%"
"06/09/2026","99.889","100.045","100.060","99.655","29.31K","0.11%"
"06/08/2026","99.778","99.840","99.955","99.560","10.02K","-0.27%"
"06/05/2026","100.051","99.435","100.095","99.130","40.37K","0.67%"
"06/04/2026","99.382","99.445","99.515","99.145","19.57K","-0.12%"
"06/03/2026","99.505","99.260","99.540","99.160","21.98K","0.32%"
"06/02/2026","99.184","99.145","99.295","99.005","16.92K","0.04%"
"06/01/2026","99.147","98.870","99.365","98.870","26.75K","0.30%"
"05/29/2026","98.852","98.935","99.145","98.695","22.33K","-0.12%"
"05/28/2026","98.969","99.240","99.500","98.850","24.92K","-0.18%"
"05/27/2026","99.149","99.055","99.205","98.890","18.89K","0.05%"
"05/26/2026","99.101","98.995","99.190","98.945","16.14K","-0.09%"
"05/25/2026","99.186","99.070","99.070","98.845","8.74K","0.00%"
"05/22/2026","99.186","99.165","99.380","99.115","21.12K","-0.03%"
"05/21/2026","99.218","99.095","99.465","99.010","28.82K","0.21%"
"05/20/2026","99.014","99.265","99.570","98.875","29.58K","-0.25%"
"05/19/2026","99.266","98.920","99.375","98.900","27.36K","0.16%"
"05/18/2026","99.105","99.215","99.340","98.865","20.69K","-0.10%"
"05/15/2026","99.208","98.830","99.245","98.830","24.44K","0.49%"
