"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2026","101.19","101.12","101.43","101.05","","0.08%"
"06/29/2026","101.11","101.37","101.39","101.07","","-0.25%"
"06/26/2026","101.36","101.50","101.57","101.04","","-0.07%"
"06/25/2026","101.43","101.60","101.75","101.31","","-0.18%"
"06/24/2026","101.61","101.37","101.80","101.36","","0.20%"
"06/23/2026","101.41","101.00","101.43","100.95","","0.38%"
"06/22/2026","101.02","100.84","101.08","100.76","","0.17%"
"06/19/2026","100.85","100.81","101.13","100.70","","0.00%"
"06/18/2026","100.85","100.34","100.92","100.21","","0.76%"
"06/17/2026","100.09","99.52","100.57","99.49","","0.55%"
"06/16/2026","99.54","99.64","99.79","99.46","","-0.09%"
"06/15/2026","99.63","99.54","99.71","99.38","","-0.12%"
"06/12/2026","99.75","99.67","99.91","99.64","","-0.11%"
"06/11/2026","99.86","100.11","100.31","99.59","","-0.09%"
"06/10/2026","99.95","100.01","100.08","99.71","","0.04%"
"06/09/2026","99.91","100.03","100.08","99.68","","-0.14%"
"06/08/2026","100.04","100.14","100.21","99.82","","-0.02%"
"06/05/2026","100.07","99.43","100.11","99.16","","0.66%"
"06/04/2026","99.41","99.46","99.53","99.18","","-0.12%"
"06/03/2026","99.53","99.29","99.55","99.19","","0.31%"
"06/02/2026","99.22","99.17","99.33","99.05","","0.02%"
"06/01/2026","99.20","98.96","99.39","98.92","","0.30%"
"05/29/2026","98.91","99.00","99.19","98.75","","-0.11%"
"05/28/2026","99.02","99.26","99.54","98.94","","-0.19%"
"05/27/2026","99.21","99.08","99.26","98.97","","0.04%"
"05/26/2026","99.17","98.99","99.25","99.01","","-0.07%"
"05/25/2026","99.24","99.11","99.12","98.92","","0.00%"
"05/22/2026","99.24","99.20","99.41","99.17","","-0.02%"
"05/21/2026","99.26","99.12","99.51","99.06","","0.17%"
"05/20/2026","99.09","99.27","99.47","98.97","","-0.24%"
"05/19/2026","99.33","98.96","99.43","98.96","","0.14%"
"05/18/2026","99.19","99.28","99.41","98.94","","-0.09%"
"05/15/2026","99.28","98.93","99.32","98.92","","0.47%"
"05/14/2026","98.82","98.46","98.91","98.42","","0.30%"
"05/13/2026","98.52","98.31","98.60","98.26","","0.23%"
"05/12/2026","98.30","97.96","98.46","97.95","","0.35%"
"05/11/2026","97.96","98.04","98.15","97.85","","0.06%"
"05/08/2026","97.90","98.25","98.28","97.83","","-0.17%"
"05/07/2026","98.07","98.03","98.28","97.82","","0.04%"
"05/06/2026","98.02","98.31","98.34","97.63","","-0.43%"
"05/05/2026","98.44","98.47","98.58","98.31","","0.07%"
"05/04/2026","98.37","98.05","98.54","97.97","","0.22%"
"05/01/2026","98.16","98.13","98.24","97.72","","0.10%"
"04/30/2026","98.06","98.85","99.09","98.01","","-0.91%"
"04/29/2026","98.96","98.61","99.05","98.57","","0.33%"
"04/28/2026","98.64","98.47","98.87","98.43","","0.15%"
"04/27/2026","98.50","99.33","99.34","98.21","","-0.04%"
"04/24/2026","98.53","98.82","98.92","98.49","","-0.24%"
"04/23/2026","98.77","98.62","98.94","98.53","","0.18%"
"04/22/2026","98.59","98.40","98.64","98.21","","0.20%"
"04/21/2026","98.39","98.06","98.57","98.06","","0.30%"
"04/20/2026","98.10","98.28","98.39","98.01","","0.00%"
"04/17/2026","98.10","98.19","98.29","97.63","","-0.12%"
"04/16/2026","98.21","98.01","98.29","97.83","","0.16%"
"04/15/2026","98.06","98.07","98.29","98.00","","-0.07%"
"04/14/2026","98.12","98.37","98.41","97.97","","-0.25%"
"04/13/2026","98.37","99.05","99.18","98.36","","-0.29%"
"04/10/2026","98.65","98.87","99.01","98.54","","-0.17%"
"04/09/2026","98.82","99.06","99.16","98.63","","-0.32%"
"04/08/2026","99.13","98.95","99.18","98.53","","-0.73%"
"04/07/2026","99.86","100.01","100.16","99.52","","-0.12%"
"04/06/2026","99.98","100.18","100.29","99.76","","-0.24%"
