"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","98.32","98.25","98.50","98.18","","0.09%"
"12/30/2025","98.24","98.01","98.27","97.94","","0.21%"
"12/29/2025","98.04","98.05","98.18","97.92","","0.02%"
"12/26/2025","98.02","97.92","98.13","97.86","","0.08%"
"12/24/2025","97.94","97.89","98.01","97.75","","0.00%"
"12/23/2025","97.94","98.20","98.19","97.85","","-0.35%"
"12/22/2025","98.29","98.67","98.73","98.20","","-0.32%"
"12/19/2025","98.60","98.46","98.75","98.42","","0.17%"
"12/18/2025","98.43","98.38","98.56","98.17","","0.06%"
"12/17/2025","98.37","98.21","98.64","98.18","","0.23%"
"12/16/2025","98.15","98.27","98.32","97.87","","-0.17%"
"12/15/2025","98.31","98.40","98.48","98.14","","-0.09%"
"12/12/2025","98.40","98.32","98.53","98.30","","0.05%"
"12/11/2025","98.35","98.56","98.76","98.13","","-0.45%"
"12/10/2025","98.79","99.21","99.26","98.59","","-0.44%"
"12/09/2025","99.22","99.05","99.31","98.95","","0.13%"
"12/08/2025","99.09","98.97","99.23","98.79","","0.10%"
"12/06/2025","98.99","99.04","98.99","98.99","","0.00%"
"12/05/2025","98.99","99.04","99.13","98.81","","0.00%"
"12/04/2025","98.99","98.92","99.08","98.76","","0.14%"
"12/03/2025","98.85","99.28","99.29","98.82","","-0.51%"
"12/02/2025","99.36","99.45","99.57","99.32","","-0.06%"
"12/01/2025","99.41","99.48","99.51","99.01","","-0.03%"
"11/28/2025","99.44","99.57","99.82","99.38","","-0.15%"
"11/27/2025","99.60","99.50","99.71","99.41","","0.00%"
"11/26/2025","99.60","99.84","99.96","99.56","","-0.07%"
"11/25/2025","99.66","100.21","100.26","99.65","","-0.48%"
"11/24/2025","100.14","100.20","100.30","100.01","","-0.04%"
"11/21/2025","100.18","100.16","100.39","99.99","","0.02%"
"11/20/2025","100.16","100.17","100.36","100.03","","-0.07%"
"11/19/2025","100.23","99.58","100.24","99.49","","0.68%"
"11/18/2025","99.55","99.56","99.66","99.40","","-0.04%"
"11/17/2025","99.59","99.27","99.60","99.25","","0.29%"
"11/14/2025","99.30","99.25","99.40","98.99","","0.14%"
"11/13/2025","99.16","99.52","99.59","98.99","","-0.34%"
"11/12/2025","99.50","99.46","99.71","99.42","","0.05%"
"11/11/2025","99.44","99.66","99.74","99.29","","-0.15%"
"11/10/2025","99.59","99.63","99.74","99.46","","-0.01%"
"11/07/2025","99.60","99.76","99.87","99.40","","-0.13%"
"11/06/2025","99.73","100.11","100.11","99.67","","-0.47%"
"11/05/2025","100.20","100.18","100.36","100.06","","-0.02%"
"11/04/2025","100.22","99.98","100.25","99.74","","0.35%"
"11/03/2025","99.87","99.75","99.99","99.71","","0.07%"
"10/31/2025","99.80","99.49","99.84","99.42","","0.28%"
"10/30/2025","99.53","99.14","99.72","98.92","","0.31%"
"10/29/2025","99.22","98.74","99.36","98.62","","0.56%"
"10/28/2025","98.67","98.75","98.95","98.57","","-0.12%"
"10/27/2025","98.78","98.84","99.00","98.73","","-0.17%"
"10/24/2025","98.95","98.94","99.10","98.73","","0.02%"
"10/23/2025","98.94","98.92","99.14","98.91","","0.04%"
"10/22/2025","98.90","98.97","99.14","98.79","","-0.04%"
"10/21/2025","98.93","98.61","98.98","98.51","","0.35%"
"10/20/2025","98.59","98.67","98.67","98.39","","0.16%"
"10/17/2025","98.43","98.26","98.55","98.03","","0.10%"
"10/16/2025","98.34","98.67","98.70","98.30","","-0.46%"
"10/15/2025","98.79","99.05","99.08","98.65","","-0.26%"
"10/14/2025","99.05","99.30","99.47","98.99","","-0.22%"
"10/13/2025","99.27","98.94","99.35","98.83","","0.29%"
"10/10/2025","98.98","99.39","99.43","98.81","","-0.56%"
"10/09/2025","99.54","98.84","99.56","98.70","","0.63%"
"10/08/2025","98.92","98.61","99.06","98.59","","0.34%"
"10/07/2025","98.58","98.09","98.66","98.09","","0.48%"
"10/06/2025","98.11","97.96","98.50","97.96","","0.39%"
"10/03/2025","97.72","97.85","97.95","97.60","","-0.13%"
"10/02/2025","97.85","97.70","98.13","97.52","","0.14%"
"10/01/2025","97.71","97.82","97.88","97.46","","-0.07%"
"09/30/2025","97.78","97.91","98.04","97.63","","-0.13%"
"09/29/2025","97.91","98.17","98.18","97.77","","-0.25%"
"09/26/2025","98.15","98.50","98.53","98.13","","-0.41%"
"09/25/2025","98.55","97.82","98.61","97.74","","0.69%"
"09/24/2025","97.87","97.24","97.92","97.22","","0.63%"
"09/23/2025","97.26","97.32","97.46","97.20","","-0.08%"
"09/22/2025","97.34","97.65","97.82","97.30","","-0.31%"
"09/19/2025","97.64","97.34","97.81","97.27","","0.30%"
