time,weather_code (wmo code),temperature_2m_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²)
2025-01-01,63,24.7,30926.09,28.0,22.3,23.50,11.0,19.4,244,14.82
2025-01-02,51,26.1,39330.75,31.0,21.0,0.20,2.0,11.8,254,22.96
2025-01-03,63,26.3,41449.63,31.0,22.0,9.20,6.0,13.5,251,23.00
2025-01-04,65,26.0,32155.31,30.2,22.2,15.20,5.0,10.8,204,18.55
2025-01-05,55,26.2,29279.93,29.5,23.6,2.00,4.0,12.8,202,16.20
2025-01-06,65,26.0,37833.43,31.2,22.3,13.50,6.0,8.1,207,21.41
2025-01-07,65,25.7,35002.57,30.0,22.9,15.00,6.0,9.9,248,20.53
2025-01-08,53,25.4,31130.35,28.7,22.5,2.60,12.0,9.7,300,16.46
2025-01-09,63,24.4,0.00,26.2,23.1,26.10,21.0,8.7,156,7.17
2025-01-10,63,25.9,38392.39,30.9,22.5,11.50,8.0,10.7,201,21.31
2025-01-11,63,25.6,33221.23,30.4,22.1,8.70,7.0,10.0,232,18.92
2025-01-12,55,25.6,15291.81,29.0,22.8,3.20,6.0,10.1,196,11.71
2025-01-13,65,25.8,31355.10,29.6,22.4,20.10,9.0,11.6,213,17.06
2025-01-14,65,24.7,15065.99,27.7,22.8,22.60,13.0,9.6,227,12.06
2025-01-15,63,25.8,25792.08,30.3,22.6,9.00,8.0,12.7,186,17.06
2025-01-16,65,25.3,21917.88,28.0,22.5,11.30,8.0,9.9,210,14.49
2025-01-17,51,25.9,29662.37,29.4,22.7,1.20,9.0,13.0,280,17.76
2025-01-18,63,25.4,13007.95,28.1,23.1,15.90,15.0,10.0,264,12.64
2025-01-19,63,25.8,32842.73,29.4,22.4,10.60,8.0,17.4,286,18.74
2025-01-20,63,24.4,2876.86,27.1,22.6,23.00,23.0,14.6,147,9.80
2025-01-21,61,24.6,19878.67,27.6,22.6,10.40,17.0,9.1,172,13.44
2025-01-22,51,25.4,22651.40,28.5,22.9,1.10,6.0,11.5,265,13.83
2025-01-23,53,25.1,30852.71,28.9,22.4,3.80,15.0,8.3,210,15.98
2025-01-24,65,25.2,19143.73,29.9,23.1,19.30,18.0,10.4,220,14.75
2025-01-25,63,25.4,32964.66,29.8,22.1,8.30,7.0,8.7,212,17.67
2025-01-26,63,25.8,26689.25,30.5,22.0,9.10,7.0,11.4,222,17.91
2025-01-27,63,26.1,31017.02,30.0,22.8,5.30,5.0,10.6,218,17.74
2025-01-28,63,24.1,17040.68,26.4,21.9,27.80,15.0,11.8,281,12.19
2025-01-29,63,24.1,10997.95,27.5,23.0,31.80,22.0,14.6,223,10.38
2025-01-30,55,24.3,24806.73,27.8,22.1,6.00,18.0,11.5,182,13.02
2025-01-31,51,25.2,32943.86,28.9,22.5,4.50,23.0,11.6,189,18.17
2025-02-01,53,24.9,19659.71,29.1,22.0,5.30,16.0,9.8,156,15.71
2025-02-02,55,25.7,29204.27,30.0,23.0,4.80,17.0,9.8,118,17.16
2025-02-03,55,26.0,38899.12,29.9,23.0,2.70,11.0,9.5,199,20.19
2025-02-04,61,25.8,32544.74,29.0,22.5,6.80,8.0,14.8,278,17.61
2025-02-05,61,25.9,39102.23,29.4,23.7,7.30,19.0,17.7,269,19.20
2025-02-06,65,24.6,21281.98,27.9,22.5,50.00,22.0,10.4,198,12.41
2025-02-07,63,25.0,24412.11,29.2,22.5,6.30,16.0,10.6,182,16.06
2025-02-08,63,24.7,28993.88,28.2,21.8,12.80,11.0,10.3,230,15.55
2025-02-09,63,25.0,32100.81,28.4,21.6,10.30,14.0,8.0,300,15.39
2025-02-10,55,25.0,28728.99,29.7,22.0,3.10,13.0,8.6,233,15.79
2025-02-11,51,25.9,34354.77,30.0,22.3,1.40,9.0,9.2,293,20.64
2025-02-12,3,27.0,41065.94,32.1,22.2,0.00,0.0,17.7,194,23.90
2025-02-13,51,26.9,30387.38,31.6,22.9,0.30,2.0,17.5,189,19.67
2025-02-14,61,26.0,30055.37,31.4,22.5,3.70,4.0,11.6,218,18.22
2025-02-15,63,25.4,24515.81,29.9,23.2,10.50,7.0,9.4,261,16.91
2025-02-16,63,25.6,39289.55,30.1,22.0,10.40,8.0,13.1,278,20.53
2025-02-17,61,25.3,22755.89,28.4,23.1,6.10,13.0,7.2,224,13.99
2025-02-18,63,25.1,35973.74,29.8,22.1,10.60,9.0,11.4,231,19.97
2025-02-19,63,24.1,11431.40,28.6,21.6,16.30,14.0,14.8,206,13.43
2025-02-20,61,25.5,36586.66,30.8,22.4,4.10,7.0,11.0,204,22.40
2025-02-21,63,25.9,33729.37,29.5,22.5,6.60,7.0,13.8,233,20.20
2025-02-22,63,25.3,24840.13,28.6,22.9,5.50,10.0,9.0,294,15.52
2025-02-23,65,24.5,20078.64,29.0,21.8,32.20,21.0,10.2,218,12.99
2025-02-24,65,24.8,23429.26,29.8,22.1,34.70,21.0,7.1,190,18.35
2025-02-25,63,25.4,23193.84,30.0,23.2,21.00,20.0,9.8,329,16.80
2025-02-26,65,25.0,19570.47,28.4,23.2,22.80,18.0,10.1,258,14.34
2025-02-27,65,24.9,31872.80,30.1,21.4,16.90,8.0,7.7,200,18.79
2025-02-28,63,25.8,34456.52,30.0,22.8,8.50,10.0,12.3,216,20.19
2025-03-01,63,25.6,33857.75,30.6,22.2,6.20,6.0,7.9,118,20.97
2025-03-02,63,25.5,33735.19,30.4,22.4,9.50,8.0,8.4,148,18.59
2025-03-03,63,25.7,22605.12,28.9,23.5,15.40,15.0,6.5,185,14.60
